Player,Total FPTS,Avg FPTS,Consistency Score,Consistency Score Scaled
luka doncic,4483,64.04,3.39,0.848
nikola jokic,4943,62.57,3.55,0.888
joel embiid,2419,62.03,3.31,0.828
giannis antetokounmpo,4250,58.22,3.38,0.845
shai gilgeous-alexander,4261,56.81,3.76,0.94
anthony davis,4204,55.32,3.31,0.828
lebron james,3685,51.9,3.48,0.87
victor wembanyama,3642,51.3,2.75,0.688
domantas sabonis,4113,50.16,3.31,0.828
donovan mitchell,2681,48.75,2.96,0.74
kevin durant,3608,48.11,3.32,0.83
trae young,2540,47.04,2.87,0.718
jayson tatum,3476,46.97,3.34,0.835
de'aaron fox,3472,46.92,2.81,0.702
kyrie irving,2717,46.84,3.12,0.78
devin booker,3172,46.65,2.91,0.728
jalen brunson,3555,46.17,2.71,0.678
kawhi leonard,3124,45.94,3.29,0.822
scottie barnes,2731,45.52,3.2,0.8
lamelo ball,1000,45.45,2.68,0.67
ja morant,408,45.33,3.43,0.858
tyrese maxey,3135,44.79,2.87,0.718
fred vanvleet,3137,42.97,2.73,0.682
alperen sengun,2705,42.94,2.94,0.735
dejounte murray,3339,42.81,2.72,0.68
anthony edwards,3364,42.58,2.49,0.622
steph curry,3139,42.42,2.49,0.622
damian lillard,3069,42.04,2.57,0.642
jamal murray,2474,41.93,2.66,0.665
demar derozan,3279,41.51,3.33,0.832
james harden,2981,41.4,2.82,0.705
desmond bane,1738,41.38,2.35,0.588
paul george,3021,40.82,2.56,0.64
bam adebayo,2887,40.66,3.16,0.79
kristaps porzingis,2309,40.51,2.86,0.715
zion williamson,2834,40.49,2.75,0.688
lauri markannen,2208,40.15,2.73,0.682
cade cunningham,2453,39.56,2.55,0.638
chet holmgren,3244,39.56,2.59,0.648
pascal siakam,3126,39.08,3.3,0.825
jimmy butler,2334,38.9,3.0,0.75
julius randle,1777,38.63,2.8,0.7
jaylen brown,2697,38.53,2.8,0.7
rudy gobert,2924,38.47,2.99,0.748
evan mobley,1923,38.46,2.7,0.675
cj mccollum,2538,38.45,2.74,0.685
nikola vucevic,2909,38.28,2.91,0.728
jarrett allen,2934,38.1,3.01,0.752
paolo banchero,3036,37.95,2.9,0.725
brandon ingram,2424,37.88,2.57,0.642
jaren jackson jr,2490,37.73,2.34,0.585
jalen williams,2676,37.69,2.7,0.675
karl-anthony towns,2330,37.58,2.42,0.605
jalen johnson,2091,37.34,2.36,0.59
terry rozier,2269,37.2,2.21,0.552
miles bridges,2560,37.1,2.55,0.638
derrick white,2707,37.08,2.58,0.645
kyle kuzma,2569,36.7,2.59,0.648
de'angelo russell,2774,36.5,2.22,0.555
deandre ayton,1995,36.27,2.32,0.58
bradley beal,1875,35.38,2.3,0.575
nic claxton,2486,35.01,3.04,0.76
devin vassell,2372,34.88,2.29,0.572
anfernee simons,1600,34.78,2.04,0.51
franz wagner,2488,34.56,2.61,0.652
tyler herro,1448,34.48,3.29,0.822
tobias harris,2409,34.41,2.32,0.58
myles turner,2647,34.38,2.64,0.66
tyus jones,2247,34.05,2.22,0.555
coby white,2669,33.78,2.27,0.568
daniel gafford,2489,33.64,2.28,0.57
darius garland,1910,33.51,2.54,0.635
zach lavine,832,33.28,2.04,0.51
jusuf nurkic,2503,32.93,2.84,0.71
jalen duren,2002,32.82,2.4,0.6
mikal bridges,2687,32.77,2.15,0.538
austin reaves,2656,32.39,2.53,0.632
jrue holiday,2206,31.97,2.52,0.63
jakkob poeltl,1598,31.96,2.46,0.615
brook lopez,2524,31.95,2.45,0.612
mark williams,607,31.95,2.61,0.652
khris middleton,1744,31.71,2.46,0.615
collin sexton,2469,31.65,2.26,0.565
rj barrett,1830,31.55,2.51,0.628
immanuel quickley,2132,31.35,2.13,0.532
michael porter jr,2528,31.21,2.22,0.555
jerami grant,1681,31.13,2.12,0.53
malcolm brogdon,1210,31.03,1.88,0.47
draymond green,1704,30.98,2.07,0.518
jalen green,2535,30.91,1.75,0.438
clint capela,2254,30.88,3.24,0.81
cam thomas,2034,30.82,1.94,0.485
bogdan bogdanovic,2432,30.78,2.53,0.632
deni avdija,2304,30.72,2.24,0.56
donte divincenzo,2475,30.56,1.83,0.458
keegan murray,2347,30.48,1.93,0.482
aaron gordon,2224,30.47,2.85,0.712
mike conley,2314,30.45,2.7,0.675
caris levert,2061,30.31,2.17,0.542
john collins,2060,30.29,2.35,0.588
alex caruso,2116,29.8,2.4,0.6
trey murphy,1688,29.61,2.11,0.528
grayson allen,2214,29.52,2.0,0.5
og anunoby,1476,29.52,2.5,0.625
chris paul,1710,29.48,2.35,0.588
malik monk,2110,29.31,1.95,0.488
dennis schroder,2336,29.2,2.21,0.552
jordan poole,2273,29.14,1.86,0.465
josh giddey,2331,29.14,2.33,0.582
ivica zubac,1977,29.07,2.45,0.612
brandon miller,2135,28.85,2.12,0.53
isaiah hartenstein,2146,28.61,2.2,0.55
marcus smart,570,28.5,1.81,0.452
klay thompson,2192,28.47,2.11,0.528
tre jones,2185,28.38,2.36,0.59
jonas valanciunas,2325,28.35,1.97,0.492
walker kessler,1798,28.09,2.36,0.59
keldon johnson,1936,28.06,1.94,0.485
ben simmons,416,27.73,2.1,0.525
max strus,1933,27.61,2.1,0.525
bobby portis,2259,27.55,1.98,0.495
josh hart,2221,27.42,1.82,0.455
herbert jones,2080,27.37,2.03,0.507
kelly oubre jr,1853,27.25,2.03,0.507
jonathan kuminga,2016,27.24,1.96,0.49
jordan clarkson,1481,26.93,1.65,0.412
jalen suggs,2003,26.71,2.19,0.548
pj washington,1947,26.67,1.78,0.445
al horford,1728,26.58,2.06,0.515
kelly olynyk,2064,26.46,2.03,0.507
naz reid,2138,26.4,1.95,0.488
t.j mcconnell,1874,26.39,2.0,0.5
brandon clarke,158,26.33,2.5,0.625
de’anthony melton,998,26.26,2.24,0.56
derrick lively,1439,26.16,1.91,0.478
tari eason,575,26.14,2.5,0.625
shaedon sharpe,831,25.97,1.71,0.428
amen thompson,1602,25.84,1.64,0.41
onyeka okongwu,1419,25.8,2.51,0.628
cameron johnson,1493,25.74,2.1,0.525
jeremy sochan,1904,25.73,1.86,0.465
russell westbrook,1740,25.59,1.95,0.488
jaden ivey,1962,25.48,2.01,0.502
ayo dosunmu,1934,25.45,1.61,0.402
vince williams jr,1313,25.25,1.7,0.425
santi aldama,1531,25.1,2.05,0.512
aaron nesmith,1801,25.01,2.04,0.51
buddy hield,2100,25.0,1.75,0.438
saddiq bey,1561,24.78,2.29,0.572
nick richards,1650,24.63,2.28,0.57
rui hachimura,1664,24.47,1.78,0.445
wendell carter jr,1334,24.25,2.11,0.528
de’andre hunter,1377,24.16,1.89,0.472
brandin podzemski,1785,24.12,1.81,0.452
gary trent jr,1685,23.73,1.7,0.425
ausar thompson,1495,23.73,1.72,0.43
kentavious caldwell-pope,1791,23.57,2.08,0.52
duncan robinson,1600,23.53,1.52,0.38
isaiah stewart,1078,23.43,2.05,0.512
zach collins,1612,23.36,1.97,0.492
jaime jaquez jr,1749,23.32,1.76,0.44
tre mann,954,23.27,1.48,0.37
spencer dinwiddie,1767,23.25,1.52,0.38
marvin bagley iii,1148,22.96,2.03,0.507
scoot henderson,1421,22.92,1.58,0.395
andrew wiggins,1626,22.9,1.57,0.392
kyle lowry,1372,22.87,2.01,0.502
rob williams,137,22.83,2.08,0.52
bruce brown,1528,22.81,1.91,0.478
cole anthony,1828,22.57,1.7,0.425
gg jackson,1074,22.38,1.36,0.34
kevin huerter,1425,22.27,1.48,0.37
mitchell robinson,690,22.26,1.87,0.468
luke kennard,863,22.13,2.04,0.51
lu dort,1746,22.1,1.75,0.438
paul reed,1811,22.09,1.6,0.4
bennedict mathurin,1299,22.02,1.36,0.34
obi toppin,1805,22.01,1.77,0.442
corey kispret,1758,21.98,1.76,0.44
andre drummond,1732,21.92,1.6,0.4
norm powell,1659,21.83,2.13,0.532
royce oneal,1723,21.81,1.6,0.4
tim hardaway,1719,21.76,1.53,0.382
payton pritchard,1768,21.56,1.35,0.338
cody martin,603,21.54,1.88,0.47
malik beasley,1691,21.41,1.83,0.458
eric gordon,1454,21.38,1.54,0.385
andrew nembhard,1449,21.31,1.97,0.492
jalen smith,1298,21.28,2.05,0.512
trayce jackson-davis,1443,21.22,1.45,0.362
patrick williams,909,21.14,1.69,0.422
kyle anderson,1667,21.1,2.05,0.512
dillon brooks,1519,21.1,1.61,0.402
grant williams,1603,21.09,1.53,0.382
keyonte george,1581,21.08,1.57,0.392
caleb martin,1339,20.92,1.9,0.475
bojan bogdanovic,1190,20.88,1.39,0.348
precious achiuwa,1520,20.54,1.59,0.398
jaden mcdaniels,1479,20.54,1.91,0.478
dorian finney-smith,1392,20.47,1.85,0.462
simone fontecchio,1350,20.45,1.53,0.382
harrison barnes,1667,20.33,1.57,0.392
dyson daniels,1230,20.16,1.8,0.45
josh richardson,860,20.0,1.83,0.458
kevin love,1087,19.76,1.61,0.402
cam whitmore,921,19.6,1.65,0.412
jonathan isaac,1136,19.59,1.85,0.462
kris dunn,1292,19.58,1.74,0.435
moritz wagner,1565,19.56,1.75,0.438
reggie jackson,1599,19.5,1.45,0.362
bilal coulibaly,1223,19.41,1.75,0.438
matisse thybulle,1246,19.17,1.59,0.398
jabari walker,1370,19.03,1.63,0.408
jake laravia,664,18.97,1.25,0.312
nickeil alexander-walker,1554,18.95,1.51,0.378
larry nance jr,1153,18.9,1.7,0.425
nicolas batum,1131,18.85,1.64,0.41
sam hauser,1483,18.77,1.59,0.398
john konchar,1030,18.73,1.63,0.408
taurean prince,1448,18.56,1.65,0.412
taylor hendricks,742,18.55,1.68,0.42
josh green,1055,18.51,1.65,0.412
dalano banton,984,18.22,1.02,0.255
isaiah jackson,1071,18.15,1.44,0.36
day’ron sharpe,1104,18.1,1.69,0.422
terrance mann,1356,18.08,1.77,0.442
toumani camara,1262,18.03,1.98,0.495
derrick jones jr,1369,18.01,1.42,0.355
nikola jovic,820,17.83,1.42,0.355
duop reath,1206,17.74,1.31,0.328
goga bitadze,1098,17.71,1.29,0.322
dario saric,1128,17.62,1.49,0.372
cason wallace,1432,17.46,1.71,0.428
luke kornet,1100,17.46,1.38,0.345
dante exum,959,17.44,1.4,0.35
jose alvarado,975,17.41,1.79,0.448
marcus sasser,1235,17.39,1.41,0.352
tristan vukcevic,171,17.1,1.25,0.312
xavier tillman,916,16.96,1.34,0.335
peyton watson,1345,16.81,1.46,0.365
georges niang,1366,16.66,1.49,0.372
isaiah joe,1291,16.55,1.67,0.418
naji marshall,1089,16.5,1.59,0.398
christian braun,1351,16.48,1.46,0.365
miles mcbride,1116,16.41,1.11,0.278
daniel theis,979,16.32,1.47,0.368
jarred vanderbilt,468,16.14,1.38,0.345
vasilije micic,965,16.08,1.21,0.302
haywood highsmith,1059,16.05,1.17,0.292
neemias queta,448,16.0,1.24,0.31
gary harris,857,15.87,1.51,0.378
julian champagnie,1172,15.84,1.33,0.332
vit krejci,348,15.82,1.54,0.385
delon wright,743,15.81,1.24,0.31
trey lyles,916,15.79,1.54,0.385
moses moody,1039,15.74,1.57,0.392
kevon looney,1165,15.74,1.68,0.42
dean wade,848,15.7,1.3,0.325
christian wood,784,15.68,1.39,0.348
keon ellis,893,15.67,1.04,0.26
alec burks,1032,15.64,1.19,0.298
cameron payne,1215,15.58,1.33,0.332
jared bulter,623,15.58,1.12,0.28
sam merrill,939,15.39,1.19,0.298
derrick rose,369,15.38,1.42,0.355
chimezie metu,774,15.18,1.13,0.282
aaron wiggins,1182,15.15,1.35,0.338
pat connaughton,1150,15.13,1.81,0.452
ziaire williams,765,15.0,1.21,0.302
torrey craig,792,14.94,1.48,0.37
gary payton ii,657,14.93,1.43,0.358
malaki branham,1107,14.76,1.33,0.332
mo bamba,828,14.53,1.3,0.325
drew eubanks,1090,14.53,1.56,0.39
kris murray,900,14.52,1.28,0.32
noah clowney,326,14.17,0.95,0.238
charles bassey,268,14.11,1.18,0.295
maxi kleber,600,13.95,1.34,0.335
gradey dick,836,13.93,1.24,0.31
mouhamed gueye,83,13.83,0.65,0.162
bones hyland,511,13.81,0.77,0.192
joe ingles,937,13.78,1.43,0.358
mason plumlee,632,13.74,1.5,0.375
evan fournier,439,13.72,1.2,0.3
chris boucher,684,13.68,1.33,0.332
dru smith,123,13.67,1.03,0.258
amir coffey,957,13.67,1.35,0.338
monte morris,449,13.61,1.32,0.33
trendon watford,854,13.56,1.24,0.31
quentin grimes,689,13.51,1.46,0.365
craig porter jr,685,13.43,0.97,0.242
jeff dowtin,160,13.33,0.88,0.22
ochai agbaji,1039,13.32,1.26,0.315
aaron holiday,1037,13.29,1.21,0.302
brice sensabaugh,417,13.03,1.1,0.275
jock landale,729,13.02,1.05,0.262
jaylin williams,889,12.88,1.61,0.402
thomas bryant,487,12.82,1.05,0.262
bol bol,549,12.77,1.05,0.262
richaun holmes,508,12.7,1.04,0.26
cam reddish,609,12.69,1.0,0.25
kenrich williams,875,12.68,1.35,0.338
josh okogie,744,12.4,1.37,0.342
jordan hawkins,824,12.3,0.97,0.242
johnny juzang,244,12.2,0.99,0.248
david roddy,782,12.03,1.14,0.285
jared rhoden,203,11.94,1.24,0.31
jeff green,917,11.76,1.26,0.315
blake wesley,711,11.66,1.07,0.268
jordan mclaughlin,649,11.59,1.26,0.315
malachi flynn,796,11.54,0.91,0.228
dwight powell,723,11.48,1.05,0.262
jaden hardy,834,11.42,1.1,0.275
jae’sean tate,741,11.4,1.44,0.36
jaxson hayes,792,11.31,1.0,0.25
patrick baldwin jr,428,11.26,0.82,0.205
deandre jordan,389,10.81,1.01,0.252
devonte graham,248,10.78,1.07,0.268
anthony black,738,10.7,1.01,0.252
davion mitchell,750,10.42,1.12,0.28
kobe bufkin,177,10.41,1.16,0.29
jalen wilson,446,10.37,1.26,0.315
sandro mamukelashvili,474,10.3,0.89,0.222
devon carter,730,10.14,0.95,0.238
stanley umude,243,10.12,0.93,0.232
jarace walker,334,10.12,0.81,0.202
seth curry,443,10.07,0.94,0.235
keita bates-diop,530,10.0,1.16,0.29
alex len,475,9.9,1.24,0.31
kenneth lofton jr,208,9.9,0.64,0.16
ben sheppard,554,9.72,1.02,0.255
keon johnson,48,9.6,1.06,0.265
garrison mathews,622,9.42,1.12,0.28
nick smith jr,480,9.41,1.03,0.258
dalen terry,551,9.34,0.98,0.245
max christie,621,9.27,0.97,0.242
jaden springer,438,8.94,0.85,0.212
kj martin,531,8.85,1.0,0.25
zeke nnaji,509,8.78,1.08,0.27
shake milton,421,8.77,1.13,0.282
oshae brissett,482,8.76,1.21,0.302
matt ryan,243,8.68,0.85,0.212
