Player,Injury Risk Value,Scaled Injury Risk Value
jonathan kuminga,0.0,1.0
deni avdija,0.0,1.0
toumani camara,0.0,1.0
nikola vucevic,0.0,1.0
victor wembanyama,0.0,1.0
harrison barnes,0.0,1.0
jaden ivey,0.0,1.0
tre jones,0.0,1.0
jayson tatum,0.0,1.0
duop reath,0.0,1.0
spencer dinwiddie,0.0,1.0
reggie jackson,0.0,1.0
immanuel quickley,0.0,1.0
royce oneal,0.0,1.0
aaron gordon,0.0,1.0
derrick white,0.0,1.0
christian braun,0.0,1.0
davion mitchell,0.0,1.0
keyonte george,0.0,1.0
marcus sasser,0.0,1.0
jalen green,0.0,1.0
mike conley,0.0,1.0
kyle anderson,0.0,1.0
drew eubanks,0.0,1.0
naz reid,0.0,1.0
anthony edwards,0.0,1.0
terrance mann,0.0,1.0
ivica zubac,0.0,1.0
jaden mcdaniels,0.0,1.0
jonas valanciunas,0.0,1.0
kevon looney,0.0,1.0
corey kispret,0.0,1.0
jordan poole,0.0,1.0
malik beasley,0.0,1.0
tobias harris,0.0,1.0
jaime jaquez jr,0.0,1.0
trayce jackson-davis,0.0,1.0
brandin podzemski,0.0,1.0
ayo dosunmu,0.0,1.0
jrue holiday,0.0,1.0
nikola jokic,0.0,1.0
brandon miller,0.0,1.0
grant williams,0.0,1.0
cason wallace,0.0,1.0
bobby portis,0.0,1.0
malik monk,0.0,1.0
max strus,0.0,1.0
georges niang,0.0,1.0
demar derozan,0.0,1.0
jalen williams,0.0,1.0
keegan murray,0.0,1.0
daniel gafford,0.0,1.0
franz wagner,0.0,1.0
obi toppin,0.0,1.0
paolo banchero,0.0,1.0
anthony black,0.0,1.0
pascal siakam,0.0,1.0
kentavious caldwell-pope,0.0,1.0
andrew nembhard,0.0,1.0
buddy hield,0.0,1.0
jordan hawkins,0.0,1.0
dejounte murray,0.0,1.0
russell westbrook,0.0,1.0
jalen brunson,0.0,1.0
andre drummond,0.0,1.0
bruce brown,0.0,1.0
mikal bridges,0.0,1.0
isaiah hartenstein,0.0,1.0
domantas sabonis,0.05,0.9889
josh hart,0.1,0.9778
josh giddey,0.11,0.9756
coby white,0.12,0.9733
lu dort,0.13,0.9711
isaiah joe,0.14,0.9689
devon carter,0.14,0.9689
donte divincenzo,0.14,0.9689
paul reed,0.15,0.9667
sam hauser,0.15,0.9667
rudy gobert,0.16,0.9644
herbert jones,0.16,0.9644
de'angelo russell,0.16,0.9644
grayson allen,0.16,0.9644
tim hardaway,0.17,0.9622
aaron wiggins,0.17,0.9622
de'aaron fox,0.18,0.96
pj washington,0.18,0.96
jarrett allen,0.18,0.96
malaki branham,0.18,0.96
brook lopez,0.18,0.96
ochai agbaji,0.19,0.9578
fred vanvleet,0.2,0.9556
shai gilgeous-alexander,0.2,0.9556
tyus jones,0.2,0.9556
jeff green,0.2,0.9556
kelly olynyk,0.2,0.9556
aaron nesmith,0.21,0.9533
bam adebayo,0.21,0.9533
clint capela,0.21,0.9533
payton pritchard,0.21,0.9533
nic claxton,0.22,0.9511
klay thompson,0.22,0.9511
taurean prince,0.22,0.9511
gary trent jr,0.23,0.9489
giannis antetokounmpo,0.23,0.9489
jaylen brown,0.24,0.9467
caris levert,0.24,0.9467
dwight powell,0.24,0.9467
saddiq bey,0.24,0.9467
kevin huerter,0.25,0.9444
dillon brooks,0.25,0.9444
precious achiuwa,0.25,0.9444
dorian finney-smith,0.25,0.9444
kj martin,0.25,0.9444
keldon johnson,0.26,0.9422
t.j mcconnell,0.26,0.9422
jeremy sochan,0.26,0.9422
tyrese maxey,0.27,0.94
eric gordon,0.27,0.94
alperen sengun,0.27,0.94
josh christopher,0.27,0.94
austin reaves,0.27,0.94
john collins,0.27,0.94
walker kessler,0.27,0.94
jabari walker,0.28,0.9378
alex caruso,0.28,0.9378
david roddy,0.28,0.9378
scottie barnes,0.28,0.9378
dennis schroder,0.29,0.9356
bennedict mathurin,0.3,0.9333
nickeil alexander-walker,0.31,0.9311
trey lyles,0.32,0.9289
jaden hardy,0.32,0.9289
cole anthony,0.33,0.9267
amir coffey,0.33,0.9267
rj barrett,0.33,0.9267
devin booker,0.34,0.9244
torrey craig,0.34,0.9244
jaxson hayes,0.35,0.9222
jalen duren,0.35,0.9222
bilal coulibaly,0.35,0.9222
kelly oubre jr,0.35,0.9222
ausar thompson,0.35,0.9222
jaylin williams,0.36,0.92
aaron holiday,0.37,0.9178
trae young,0.37,0.9178
darius garland,0.37,0.9178
scoot henderson,0.37,0.9178
kris murray,0.37,0.9178
john konchar,0.37,0.9178
amen thompson,0.37,0.9178
duncan robinson,0.38,0.9156
peyton watson,0.38,0.9156
andrew wiggins,0.38,0.9156
moritz wagner,0.39,0.9133
chris boucher,0.39,0.9133
evan mobley,0.39,0.9133
gradey dick,0.4,0.9111
vasilije micic,0.4,0.9111
donovan mitchell,0.4,0.9111
devin vassell,0.42,0.9067
pat connaughton,0.42,0.9067
mason plumlee,0.43,0.9044
max christie,0.43,0.9044
jakkob poeltl,0.43,0.9044
bogdan bogdanovic,0.44,0.9022
julius randle,0.44,0.9022
derrick jones jr,0.44,0.9022
christian wood,0.46,0.8978
andre jackson jr,0.46,0.8978
ben sheppard,0.46,0.8978
myles turner,0.48,0.8933
julian champagnie,0.49,0.8911
derrick lively,0.49,0.8911
cj mccollum,0.5,0.8889
chet holmgren,0.5,0.8889
naji marshall,0.5,0.8889
luka doncic,0.5,0.8889
norm powell,0.51,0.8867
michael porter jr,0.51,0.8867
kyle kuzma,0.52,0.8844
de’anthony melton,0.53,0.8822
steph curry,0.53,0.8822
cameron payne,0.55,0.8778
james harden,0.55,0.8778
matisse thybulle,0.55,0.8778
jusuf nurkic,0.56,0.8756
jaren jackson jr,0.57,0.8733
craig porter jr,0.57,0.8733
nick smith jr,0.57,0.8733
